
data;
set ORIG := 	O201101	O201102	O201103	O201104	O201105	O201106	O201107	O201108	
O201109	O201110	O201111	O201112	O201113	O201114	O201115	O201116	O201117	O201118	
O201119	O201120	O201121	O201122	O201123	O201124	O201125	O201126	O201127	O201128	
O201129	O201130	O201131	O201132	O201133	O201134	O201135;
set DEST := 
D201701
D201702
D201703
D201704
D201705
D201706
D201707
D201708
D201709
D201710
D201711
D201712
D201713
D201714
D201715
D201716
D201717
D201718
D201719
D201720
D201721
D201722
D201723
D201724
D201725
D201726
D201727
D201728
D201729
D201730
D201731
D201732
D201733
D201734
D201735
D201736
D201737
D201738
D201739
D201740
D201741
D201742
D201743
D201744
D201745
D201746
D201747
D201748
D201749
D201750
D201751
D201752
D201753
D201754
D201755
D201756
D201757
D201758
D201759
D201760
D201761	;
param cost:
	
	O201101	O201102	O201103	O201104	O201105	O201106	O201107	O201108	O201109	O201110	O201111	O201112	O201113	O201114	O201115	O201116	O201117	O201118	O201119	O201120	O201121	O201122	O201123	O201124	O201125	O201126	O201127	O201128	O201129	O201130	O201131	O201132	O201133	O201134	O201135:=
D201744	7200180	754105057	611516581	5689060	1201943860	1201943860	771857780	27072665	124785889	23311777	116650980	20064197	16968608	249372097	18228269	2119553	393703965	481311770	481311770	43915841	76588520	288364625	723068977	723068977	77571117	118964042	4178473	4178473	54205749	2561065	234165613	184772737	467876701	366883621	366883621
D201745	4806161	951739048	790703156	32775485	1376019521	1376019521	967414493	71757764	144941242	23184500	54889673	2093050	4995413	305226050	1006672	21695272	272472848	511490305	511490305	80285746	48818713	256368212	736600514	736600514	67914368	122207193	25389832	25389832	35531162	25033090	268095490	151700744	570102626	443667266	443667266
D201746	41456417	642912148	513459104	6734405	956613617	956613617	636987685	10341736	61571770	15238376	179046185	44820306	60147205	332866306	46063316	6544116	509633780	342124389	342124389	7803842	71116065	225161800	559940434	559940434	50575748	209814733	3605956	3605956	48032066	11223970	137629354	303830740	317686762	452604874	452604874
D201747	4167785	772535272	628147076	13415285	1315426265	1315426265	806313205	39899380	176472154	46765412	116943905	28795482	11646013	193504882	24702224	10383048	380977040	578380905	578380905	72253106	108364545	358910500	841604482	841604482	116678432	77384257	15073768	15073768	83143754	7042690	302364178	138134632	545978866	302008066	302008066
D201748	334012985	647025992	545783908	324830437	1868958505	1868958505	789670501	331839604	790181930	539646628	644075441	480209738	355206925	12063938	459426960	347504552	1000938896	1453249577	1453249577	488251458	736522481	1248081508	1903400210	1903400210	738134432	143461057	364214792	364214792	666152570	311340242	981075266	279435080	1085724578	791858	791858
D201749	1614313576	111986953	176327325	1259971344	550623816	550623816	107456320	1074442057	1331430829	1531219617	2364090280	1764596297	1735341892	1367482397	1760898829	1337083625	3328505245	1450789154	1450789154	1138710205	1863615620	2012738353	1814417645	1814417645	1645789933	1772669858	1313850625	1313850625	1749674329	1316453749	1243689841	2250090665	702205505	1281261305	1281261305
D201750	12817460	778031201	633625765	8574436	1153949620	1153949620	783977332	29272345	95076257	10374433	109902692	14650373	22611616	302563073	14554413	3357185	386258717	420842330	420842330	33627393	53050472	236397265	644451569	644451569	51839021	153088906	3809705	3809705	34226933	6989801	194968109	216404225	433089053	430036325	430036325
D201751	1752154013	147820250	221650090	1386242329	642980413	642980413	151760241	1193203530	1481627240	1679874298	2536628261	1916508688	1877491557	1448667988	1911362650	1467797458	3528342506	1616084149	1616084149	1269193960	2031516001	2200685202	1998808264	1998808264	1806910850	1889776925	1444850738	1444850738	1911196820	1443823784	1393719380	2385187234	818581300	1346640160	1346640160
D201752	74566666	610950825	487317121	22566706	833552026	833552026	589256858	17197805	34412625	21049957	221656378	69399877	97651370	406829477	72765173	23460289	578309653	266859508	266859508	763145	74494738	190216109	466556297	466556297	42608845	280718500	17503929	17503929	52312153	31340241	90772425	387724145	246005465	531149981	531149981
D201753	196620085	678546146	561487874	202256225	1751136725	1751136725	797882009	219865298	602451464	369354530	443688349	311840000	211399565	2239300	294791410	216806138	759139714	1215205589	1215205589	347495752	527912729	983869466	1620452200	1620452200	537672826	62767261	231639098	231639098	470282740	188516840	785032340	169616266	943937332	23570704	23570704
D201754	364608712	215438337	156085189	256211152	1092286312	1092286312	296358560	209405393	554548581	457559785	772149640	491791105	413104724	149980805	478847813	290740225	1293604885	1013050450	1013050450	317873045	672088660	1032822809	1406463365	1406463365	609789637	321331282	293614425	293614425	596318593	264640077	652060089	545971457	588359945	136425809	136425809
D201755	196620085	678546146	561487874	202256225	1751136725	1751136725	797882009	219865298	602451464	369354530	443688349	311840000	211399565	2239300	294791410	216806138	759139714	1215205589	1215205589	347495752	527912729	983869466	1620452200	1620452200	537672826	62767261	231639098	231639098	470282740	188516840	785032340	169616266	943937332	23570704	23570704
D201756	121442098	599768417	481284425	52234250	718063298	718063298	560170706	38098661	15174113	37376765	274720066	105493925	148744994	504096325	111304381	53777945	656196061	194245412	194245412	5394649	85987226	158259749	372289177	372289177	42707317	370552372	44549105	44549105	65508841	65478785	50411705	489421705	182888329	635160445	635160445
D201757	29143313	598218386	472205842	8852869	1162449553	1162449553	633711037	17732842	177838820	68909290	200856617	68997380	46193065	161737280	64208394	13274378	524285882	568793405	568793405	58012884	157802717	411702946	848094836	848094836	147952466	97598581	16281818	16281818	123603464	7137764	289678568	194555930	465192104	249633572	249633572
D201758	13738706	1116591473	941360401	72483970	1622668066	1622668066	1147325338	128481349	225132557	60820525	27497618	12673625	5165338	298915625	9771957	56927897	191910293	644973320	644973320	147364101	76494458	321009637	880974629	880974629	115239293	95346568	64418657	64418657	66381797	58322525	374455685	95340329	732342581	442119761	442119761
D201759	127562420	1629131869	1416855113	233471108	1939221140	1939221140	1630910276	319642205	304030453	139083365	8177156	74928745	101822792	619082045	77091481	200892589	64187561	676182250	676182250	296899237	82417216	258603845	843488693	843488693	149038409	280201914	207892309	207892309	96258881	214310893	457849321	209582861	947937497	821193113	821193113
D201760	2966940692	3192394957	3093434969	2699935652	1278130292	1278130292	2812021540	2595662893	1726829221	2325370805	2990360420	2686736025	3033033544	4524707725	2741007113	2682586845	3587328665	956797290	956797290	2226800405	2170347840	1418982229	664445605	664445605	1990299257	4036403002	2619376645	2619376645	2218978193	2777123677	1426904569	4225735357	1418608105	4867166089	4867166089
D201761	49246628	521772701	404442937	5367364	977134468	977134468	538246692	1794717	122613725	55581445	237668372	80064385	72475560	226531285	77794249	11759053	597982937	454133650	454133650	25876429	143907472	351515781	712817821	712817821	118675481	163225346	10950293	10950293	110017769	9267509	209279153	279142765	348654049	318192817	318192817;
